City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Togul,RU,53.465,85.9128,47.17,71,24,2.73,few clouds
221,Pisco,PE,-13.7,-76.2167,71.65,68,0,24.16,clear sky
222,Thinadhoo,MV,0.5333,72.9333,83.34,70,14,8.32,few clouds
223,Show Low,US,34.2542,-110.0298,68.65,11,0,23.02,clear sky
224,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,66,89,17.13,overcast clouds
225,Cabo San Lucas,MX,22.8909,-109.9124,88.9,18,75,11.5,broken clouds
226,Skibbereen,IE,51.55,-9.2667,52.11,98,100,11.97,light rain
227,Bonito,BR,-21.1211,-56.4819,79.93,48,5,4.72,clear sky
228,Saint-Augustin,CA,51.226,-58.6502,32.5,99,100,10.63,light snow
229,Lavrentiya,RU,65.5833,-171.0,27.05,94,99,10.6,light snow
230,Isla Vista,US,34.4133,-119.861,68.77,78,100,16.11,overcast clouds
231,Murray Bridge,AU,-35.1167,139.2667,75.13,44,14,13.11,few clouds
232,Novyy Svit,UA,47.8059,38.0211,48.24,76,100,7.2,overcast clouds
233,Kahului,US,20.8947,-156.47,73.42,92,100,17.27,light rain
234,Ostrovnoy,RU,68.0531,39.5131,30.76,86,100,13.35,overcast clouds
235,Phalia,PK,32.4297,73.5775,76.26,33,13,7.09,few clouds
236,Hokitika,NZ,-42.7167,170.9667,51.53,83,88,5.32,overcast clouds
237,Upata,VE,8.0086,-62.3989,86.54,47,94,8.66,overcast clouds
238,Sawakin,SD,19.1059,37.3321,80.06,57,3,5.84,clear sky
239,Oranjemund,NA,-28.55,16.4333,59.05,76,0,11.99,clear sky
240,Waingapu,ID,-9.6567,120.2641,79.03,87,67,5.66,broken clouds
241,Roebourne,AU,-20.7833,117.1333,83.01,39,26,6.33,scattered clouds
242,Padang,ID,-0.9492,100.3543,78.1,87,97,3.47,overcast clouds
243,Xinpu,CN,34.5997,119.1594,45.25,51,100,4.25,overcast clouds
244,Paola,IT,39.3599,16.0396,58.32,57,100,6.64,overcast clouds
245,Jibuti,DJ,11.5,42.5,79.05,54,5,9.93,clear sky
246,Ko Samui,TH,9.5357,99.9357,84.02,76,78,9.31,broken clouds
247,Bandarbeyla,SO,9.4942,50.8122,81.99,78,22,8.5,few clouds
248,Severo-Kurilsk,RU,50.6789,156.125,30.97,81,100,14.29,overcast clouds
249,Khandbari,NP,27.3747,87.2039,67.98,33,0,5.77,clear sky
250,Oksfjord,NO,70.2396,22.3479,44.67,98,100,21.47,overcast clouds
251,Cockburn Town,TC,21.4612,-71.1419,80.56,69,75,18.41,broken clouds
252,Kenora,CA,49.8167,-94.4337,26.78,42,96,10.0,overcast clouds
253,Kizner,RU,56.2749,51.508,30.88,84,97,6.46,overcast clouds
254,Pouebo,NC,-20.4,164.5667,72.59,82,2,2.77,clear sky
255,Guerrero Negro,MX,27.9769,-114.0611,67.86,62,100,21.32,overcast clouds
256,Matara,LK,5.9485,80.5353,79.7,85,68,3.6,broken clouds
257,Coihaique,CL,-45.5752,-72.0662,60.75,44,0,3.44,clear sky
258,Norman Wells,CA,65.282,-126.8329,14.04,41,20,3.44,few clouds
259,San Ramon,US,37.7799,-121.978,67.82,75,75,16.11,broken clouds
260,Noumea,NC,-22.2763,166.4572,73.99,99,1,6.8,clear sky
261,Tommot,RU,58.9564,126.2925,22.12,98,100,1.72,overcast clouds
262,Watertown,US,42.3709,-71.1828,68.61,49,100,23.02,overcast clouds
263,Sambava,MG,-14.2667,50.1667,76.39,85,2,12.64,clear sky
264,Freeport,US,40.6576,-73.5832,70.11,69,0,25.32,clear sky
265,Rajauri,IN,33.3833,74.3,68.29,30,0,7.7,clear sky
266,Derzhavinsk,KZ,51.1,66.3167,51.57,64,100,5.46,overcast clouds
267,Sioux Lookout,CA,50.1001,-91.917,24.87,63,100,8.05,overcast clouds
268,Zarand,IR,30.8127,56.564,70.38,22,100,15.26,overcast clouds
269,Tilichiki,RU,60.4667,166.1,25.07,88,98,4.41,overcast clouds
270,Anadyr,RU,64.75,177.4833,30.7,80,40,6.71,light snow
271,Half Moon Bay,US,37.4636,-122.4286,66.54,80,100,19.57,mist
272,Nome,US,64.5011,-165.4064,32.16,80,100,17.27,overcast clouds
273,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,82,100,8.01,overcast clouds
274,Antalaha,MG,-14.9003,50.2788,74.34,85,0,7.43,clear sky
275,Kalabo,ZM,-14.97,22.6814,67.03,91,100,4.72,overcast clouds
276,Antsohihy,MG,-14.8796,47.9875,76.01,68,0,9.19,clear sky
277,Port Macquarie,AU,-31.4333,152.9167,57.88,87,12,6.31,few clouds
278,Korla,CN,41.7597,86.1469,50.18,14,0,2.26,clear sky
279,Deputatskiy,RU,69.3,139.9,3.02,98,100,2.17,overcast clouds
280,Vilhena,BR,-12.7406,-60.1458,80.82,74,40,5.75,scattered clouds
281,Ponta Do Sol,PT,32.6667,-17.1,72.23,50,100,7.58,overcast clouds
282,Altagracia De Orituco,VE,9.8601,-66.3814,88.07,43,96,8.41,overcast clouds
283,Saldanha,ZA,-33.0117,17.9442,61.65,58,0,11.39,clear sky
284,Nuuk,GL,64.1835,-51.7216,27.21,63,20,10.36,few clouds
285,Vao,NC,-22.6667,167.4833,76.41,71,0,8.25,clear sky
286,Felipe Carrillo Puerto,MX,19.5833,-88.05,96.12,34,5,8.52,clear sky
287,Narsaq,GL,60.9167,-46.05,41.22,74,2,4.5,clear sky
288,Santa Cruz De La Palma,ES,28.6835,-17.7642,69.13,77,20,13.8,few clouds
